Catalogue Entry,Alternative Entries,Familiar Name,Right Ascension,Declination,Major Axis,Minor Axis,Magnitude,Name catalog,Name number,Type,Type Category,Constellation,Width ('),Height ('),Notes
NGC 3766,,Pearl Cluster,11:36:14.39,-61:36:18.6,6.9,,5.3,NGC,3766,Open Cluster,clusters,Centaurus,,,small_dso
NGC 4236,C 3,,12:16:42.12,+69:27:45.3,23.5,6.85,9.77,NGC,4236,Galaxy,galaxies,Draco,21.0,7.0,large_dso
NGC 4372,C 108,,12:25:45.38,-72:39:32.7,12.0,,9.85,NGC,4372,Globular Cluster,clusters,Musca,19.0,19.0,large_dso
NGC 4609,,Coalsack Cluster,12:42:16.83,-62:59:44.7,5.4,,6.9,NGC,4609,Open Cluster,clusters,Crux,,,small_dso
NGC 4631,,Whale Galaxy,12:42:08.01,+32:32:29.4,14.45,2.2,9.24,NGC,4631,Galaxy,galaxies,Canes Venatici,,,small_dso
NGC 5045,,,13:16:47.00,-63:25:00.0,20.0,11.0,,NGC,5045,Association of stars,stars,Centaurus,,,large_dso
NGC 5128,C 77,Centaurus A,13:25:27.62,-43:01:08.8,25.88,19.77,7.22,NGC,5128,Galaxy,galaxies,Centaurus,18.0,14.0,large_dso
NGC 5139,C 80,Omega Centauri,13:26:45.89,-47:28:36.7,27.0,,5.33,NGC,5139,Globular Cluster,clusters,Centaurus,36.0,36.0,large_dso
NGC 5299,,,13:50:26.26,-59:56:51.8,4.2,,,NGC,5299,Open Cluster,clusters,Centaurus,30.0,30.0,large_dso
NGC 5460,,,14:07:27.81,-48:20:33.1,13.2,,5.6,NGC,5460,Open Cluster,clusters,Centaurus,25.0,25.0,large_dso
NGC 5822,,,15:04:21.25,-54:23:47.1,18.0,,6.5,NGC,5822,Open Cluster,clusters,Lupus,40.0,40.0,large_dso
NGC 6087,,S Nor Cluster,16:18:50.58,-57:56:04.5,10.2,,5.4,NGC,6087,Open Cluster,clusters,Norma,,,small_dso
NGC 6124,C 75,,16:25:20.06,-40:39:13.3,13.5,,5.8,NGC,6124,Open Cluster,clusters,Scorpius,29.0,29.0,large_dso
NGC 6152,,,16:32:45.62,-52:38:38.4,6.6,,8.1,NGC,6152,Open Cluster,clusters,Norma,30.0,30.0,large_dso
NGC 6188,,Rim Nebula,16:40:05.84,-48:39:44.2,20.0,12.0,,NGC,6188,Nebula,nebulae,Ara,20.0,20.0,large_dso
NGC 6281,,,17:04:41.30,-37:59:06.8,10.2,,5.4,NGC,6281,Open Cluster,clusters,Scorpius,60.0,60.0,large_dso
NGC 6334,,,17:20:49.70,-36:06:09.8,8.4,,,NGC,6334,Supernova remnant,nebulae,Scorpius,40.0,40.0,large_dso
NGC 6357,,the War and Peace Nebula,17:24:43.57,-34:12:04.8,3.9,,,NGC,6357,Star cluster + Nebula,nebulae,Scorpius,50.0,50.0,large_dso
NGC 6374,,,17:34:42.54,-32:34:52.9,6.9,,5.5,NGC,6374,Open Cluster,clusters,Scorpius,80.0,80.0,large_dso
NGC 6397,C 86,,17:40:41.36,-53:40:25.3,15.3,,5.17,NGC,6397,Globular Cluster,clusters,Ara,26.0,26.0,large_dso
NGC 6416,,,17:44:19.99,-32:21:39.6,6.9,,,NGC,6416,Open Cluster,clusters,Scorpius,18.0,18.0,large_dso
NGC 6526,,,18:04:06.15,-24:26:30.8,40.0,40.0,,NGC,6526,Nebula,nebulae,Sagittarius,40.0,40.0,large_dso
NGC 6559,,,18:09:56.85,-24:06:23.0,15.0,10.0,,NGC,6559,Nebula,nebulae,Sagittarius,,,large_dso
NGC 6604,,,18:18:02.96,-12:14:35.2,9.6,,6.5,NGC,6604,Open Cluster,clusters,,60.0,60.0,large_dso
NGC 6633,,,18:27:15.23,+06:30:29.6,12.0,,4.6,NGC,6633,Open Cluster,clusters,Ophiuchus,27.0,27.0,large_dso
NGC 6727,,,19:01:42.27,-36:52:34.5,80.0,80.0,,NGC,6727,Reflection Nebula,nebulae,Corona Australis,,,large_dso
NGC 6729,,,19:01:55.40,-36:57:27.5,25.0,20.0,,NGC,6729,Nebula,nebulae,Corona Australis,,,large_dso
NGC 6744,,,19:09:46.10,-63:51:27.1,15.67,9.75,9.25,NGC,6744,Galaxy,galaxies,Pavo,,,large_dso
NGC 6752,C 93,,19:10:51.78,-59:58:54.7,13.2,,6.28,NGC,6752,Globular Cluster,clusters,Pavo,20.0,20.0,large_dso
NGC 6774,,,19:16:16.30,-16:15:38.5,30.0,,,NGC,6774,Open Cluster,clusters,Sagittarius,,,large_dso
NGC 6819,,Foxhead Cluster,19:41:18.09,+40:11:12.3,6.9,,7.3,NGC,6819,Open Cluster,clusters,Cygnus,,,small_dso
NGC 6820,,,19:42:28.02,+23:05:17.1,0.5,0.5,,NGC,6820,Nebula,nebulae,Vulpecula,40.0,40.0,large_dso
NGC 6871,,,20:05:59.44,+35:46:38.1,9.3,,5.2,NGC,6871,Open Cluster,clusters,Cygnus,20.0,20.0,large_dso
NGC 6888,C 27,Crescent Nebula,20:12:06.55,+38:21:17.8,20.0,10.0,,NGC,6888,HII Ionized region,nebulae,Cygnus,20.0,10.0,large_dso
NGC 6940,,,20:34:26.69,+28:16:57.8,10.8,,6.3,NGC,6940,Open Cluster,clusters,Vulpecula,31.0,31.0,large_dso
NGC 6946,,Fireworks Galaxy,20:34:52.32,+60:09:14.1,11.4,10.84,9.05,NGC,6946,Galaxy,galaxies,Cygnus,,,small_dso
NGC 6960,C 34,"Veil Nebula,Filamentary Nebula,Western Veil, West Veil Nebula",20:45:58.18,+30:35:42.5,210.0,160.0,,NGC,6960,Supernova remnant,nebulae,Cygnus,70.0,6.0,large_dso
