Catalogue Entry,Alternative Entries,Familiar Name,Right Ascension,Declination,Major Axis,Minor Axis,Magnitude,Name catalog,Name number,Type,Type Category,Constellation,Width ('),Height ('),Notes
M 35,NGC 2168,,06:09:05.06,+24:20:19.1,24.0,,5.1,M,35,Open Cluster,clusters,Gemini,28.0,28.0,large_dso
M 37,NGC 2099,,05:52:18.35,+32:33:10.8,11.4,,5.6,M,37,Open Cluster,clusters,Auriga,24.0,24.0,large_dso
M 38,NGC 1912,,05:28:42.49,+35:51:17.7,9.6,,6.4,M,38,Open Cluster,clusters,Auriga,21.0,21.0,large_dso
M 39,NGC 7092,,21:31:48.32,+48:26:17.4,19.5,,4.6,M,39,Open Cluster,clusters,Cygnus,32.0,32.0,large_dso
M 41,NGC 2287,,06:45:59.94,-20:45:15.2,12.0,,4.5,M,41,Open Cluster,clusters,Canis Major,38.0,38.0,large_dso
M 42,NGC 1976,"Great Nebula in Orion, Great Orion Nebula,Orion Nebula",05:35:16.48,-05:23:22.8,90.0,60.0,4.0,M,42,Star cluster + Nebula,nebulae,Orion,85.0,60.0,large_dso
M 43,NGC 1982,"De Mairan's Nebula, Mairan's Nebula",05:35:31.38,-05:16:02.9,20.0,15.0,9.0,M,43,HII Ionized region,nebulae,Orion,20.0,15.0,large_dso
M 44,NGC 2632,"Beehive Cluster, Beehive,Praesepe Cluster",08:40:22.20,+19:40:19.4,108.6,,3.1,M,44,Open Cluster,clusters,Cancer,95.0,95.0,large_dso
M 45,,Pleiades,03:47:28.6,+24:06:19,150.0,150.0,1.2,M,45,Open Cluster,clusters,Taurus,110.0,110.0,large_dso
M 46,NGC 2437,,07:41:46.82,-14:48:36.0,21.0,,6.1,M,46,Open Cluster,clusters,Puppis,27.0,27.0,large_dso
M 47,NGC 2422,,07:36:35.02,-14:28:57.4,19.8,,4.4,M,47,Open Cluster,clusters,Puppis,30.0,30.0,large_dso
M 48,NGC 2548,,08:13:43.18,-05:45:01.6,28.2,,5.8,M,48,Open Cluster,clusters,Hydra,54.0,54.0,large_dso
M 51,,Whirlpool Galaxy,13:29:52.71,+47:11:42.6,13.71,11.67,8.36,M,51,Galaxy,galaxies,Canes Venatici,,,small_dso
M 55,NGC 6809,,19:39:59.40,-30:57:43.5,12.0,,6.49,M,55,Globular Cluster,clusters,Sagittarius,19.0,19.0,large_dso
M 57,,Ring Nebula,18:53:35.01,+33:01:42.9,1.27,,8.8,M,57,Planetary Nebula,nebulae,Lyra,,,small_dso
M 63,,Sunflower Galaxy,13:15:49.33,+42:01:45.4,11.83,7.16,8.61,M,63,Galaxy,galaxies,Canes Venatici,,,small_dso
M 64,,"Black Eye Galaxy,Evil Eye Galaxy",12:56:43.64,+21:40:58.7,10.52,5.33,8.52,M,64,Galaxy,galaxies,Coma Berenices,,,small_dso
M 65,,Leo Triplet,11:18:55.92,+13:05:32.5,7.64,1.97,9.32,M,65,Galaxy,galaxies,Leo,,,small_dso
M 67,NGC 2682,,08:51:20.13,+11:48:43.0,33.0,,6.9,M,67,Open Cluster,clusters,Cancer,30.0,30.0,large_dso
M 81,NGC 3031,Bode's Galaxy,09:55:33.17,+69:03:55.1,21.63,11.25,6.92,M,81,Galaxy,galaxies,Ursa Major,21.0,10.0,large_dso
M 82,,Cigar Galaxy,09:55:52.73,+69:40:45.8,10.99,5.11,8.3,M,82,Galaxy,galaxies,Ursa Major,,,small_dso
M 83,,Southern Pinwheel Galaxy,13:37:00.95,-29:51:55.5,13.61,13.21,7.21,M,83,Galaxy,galaxies,Hydra,,,small_dso
M 87,,Virgo Galaxy,12:30:49.42,+12:23:28.0,7.11,6.67,9.0,M,87,Galaxy,galaxies,Virgo,,,small_dso
M 93,NGC 2447,,07:44:29.23,-23:51:11.1,15.0,,6.2,M,93,Open Cluster,clusters,Puppis,22.0,22.0,large_dso
M 97,,Owl Nebula,11:14:47.71,+55:01:08.5,3.58,,9.9,M,97,Planetary Nebula,nebulae,Ursa Major,,,small_dso
M 99,,"Coma Pinwheel,Virgo Cluster Pinwheel",12:18:49.60,+14:24:59.4,5.04,4.74,9.84,M,99,Galaxy,galaxies,Coma Berenices,,,small_dso
M 101,NGC 5457,Pinwheel Galaxy,14:03:12.54,+54:20:56.2,23.99,23.07,7.9,M,101,Galaxy,galaxies,Ursa Major,22.0,22.0,large_dso
M 104,,Sombrero Galaxy,12:39:59.43,-11:37:23.0,8.45,4.91,8.59,M,104,Galaxy,galaxies,Virgo,,,small_dso
M 106,NGC 4258,,12:18:57.50,+47:18:14.3,16.98,7.24,9.29,M,106,Galaxy,galaxies,Canes Venatici,19.0,8.0,large_dso
M 110,,,00:40:22.08,+41:41:07.1,16.22,9.59,8.15,M,110,Galaxy,galaxies,Andromeda,,,large_dso
Mel 111,,Coma Star Cluster,12:25:06.0,+26:06:00,253.5,,,Mel,111,Open Cluster,clusters,Coma Berenices,,,large_dso
NGC 55,C 72,,00:14:53.60,-39:11:47.9,29.85,3.05,8.54,NGC,55,Galaxy,galaxies,Sculptor,32.0,6.0,large_dso
NGC 104,C 106,"47 Tuc Cluster, 47 Tucanae",00:24:05.36,-72:04:53.2,31.8,,4.09,NGC,104,Globular Cluster,clusters,Tucana,31.0,31.0,large_dso
NGC 129,,,00:29:58.19,+60:12:40.2,5.4,,6.5,NGC,129,Open Cluster,clusters,Cassiopeia,21.0,21.0,large_dso
NGC 188,,,00:47:27.53,+85:16:10.7,17.7,,8.1,NGC,188,Open Cluster,clusters,Cepheus,,,large_dso
NGC 247,C 62,,00:47:08.55,-20:45:37.4,19.68,5.55,9.21,NGC,247,Galaxy,galaxies,Cetus,20.0,7.0,large_dso
NGC 281,,,00:52:59.35,+56:37:18.8,35.0,30.0,,NGC,281,HII Ionized region,nebulae,Cassiopeia,35.0,35.0,large_dso
NGC 292,,Small Magellanic Cloud,00:52:44.78,-72:49:43.0,299.92,179.89,2.3,NGC,292,Galaxy,galaxies,Tucana,,,large_dso
NGC 300,C 70,,00:54:53.48,-37:41:03.8,19.41,13.06,8.66,NGC,300,Galaxy,galaxies,Sculptor,20.0,13.0,large_dso
NGC 457,,Owl Cluster,01:19:32.65,+58:17:26.5,7.8,,6.4,NGC,457,Open Cluster,clusters,Cassiopeia,,,small_dso
NGC 752,C 28,,01:57:34.82,+37:50:00.2,39.0,,5.7,NGC,752,Open Cluster,clusters,Andromeda,50.0,50.0,large_dso
NGC 869,,"Double cluster, h Persei Cluster",02:18:58.56,+57:07:02.1,14.4,,3.7,NGC,869,Open Cluster,clusters,Perseus,30.0,30.0,large_dso
NGC 884,,"Double cluster, chi Persei Cluster",02:22:32.10,+57:08:38.8,10.5,,3.8,NGC,884,Open Cluster,clusters,Perseus,30.0,30.0,large_dso
NGC 896,,,02:25:27.82,+62:01:09.7,10.0,10.0,,NGC,896,Nebula,nebulae,Cassiopeia,27.0,27.0,large_dso
NGC 1027,,,02:42:35.06,+61:35:39.7,7.8,,6.7,NGC,1027,Open Cluster,clusters,Cassiopeia,20.0,20.0,large_dso
NGC 1316,,Fornax A,03:22:41.72,-37:12:29.6,13.46,7.71,8.48,NGC,1316,Galaxy,galaxies,Fornax,,,small_dso
NGC 1333,,,03:28:55.2,+31:22:12,19.5,,,NGC,1333,Star cluster + Nebula,nebulae,Perseus,,,large_dso
NGC 1432,,"Maia Nebula, Maia nebula",03:45:49.59,+24:22:04.3,60.0,40.0,,NGC,1432,HII Ionized region,nebulae,Taurus,30.0,30.0,large_dso
NGC 1435,,"Merope Nebula, Merope nebula",03:46:10.09,+23:45:53.9,30.0,30.0,,NGC,1435,Nebula,nebulae,Taurus,30.0,30.0,large_dso
NGC 1499,,"California Nebula, California nebula",04:03:14.42,+36:22:02.9,160.0,40.0,,NGC,1499,Nebula,nebulae,Perseus,145.0,145.0,large_dso
NGC 1502,,Jolly Roger Cluster,04:07:49.30,+62:19:53.5,10.2,,6.9,NGC,1502,Open Cluster,clusters,Camelopardalis,20.0,20.0,large_dso
NGC 1528,,,04:15:18.87,+51:12:41.3,9.6,,6.4,NGC,1528,Open Cluster,clusters,Perseus,24.0,24.0,large_dso
NGC 1545,,,04:20:56.26,+50:15:19.2,4.2,,6.2,NGC,1545,Open Cluster,clusters,Perseus,18.0,18.0,large_dso
NGC 1582,,,04:31:46.79,+43:47:05.4,7.8,,7.0,NGC,1582,Open Cluster,clusters,Perseus,37.0,37.0,large_dso
NGC 1647,,Pirate Moon Cluster,04:45:55.57,+19:05:42.4,27.0,,6.4,NGC,1647,Open Cluster,clusters,Taurus,45.0,45.0,large_dso
NGC 1662,,,04:48:28.95,+10:55:49.4,13.8,,6.4,NGC,1662,Open Cluster,clusters,Orion,20.0,20.0,large_dso
NGC 1664,,,04:51:05.43,+43:40:34.2,11.4,,7.6,NGC,1664,Open Cluster,clusters,Auriga,18.0,18.0,large_dso
NGC 1746,,,05:03:50.19,+23:46:03.5,18.0,,6.1,NGC,1746,Open Cluster,clusters,Taurus,42.0,42.0,large_dso
NGC 1763,,,04:56:49.19,-66:24:32.7,5.2,3.6,9.4,NGC,1763,Star cluster + Nebula,nebulae,Dorado,25.0,25.0,large_dso
NGC 1909,,"Witch Head nebula, the Witch Head Nebula",05:04:55.44,-07:15:56.3,180.0,60.0,,NGC,1909,Reflection Nebula,nebulae,Eridanus,180.0,180.0,large_dso
NGC 1977,,"Running Man, the Running Man Nebula",05:35:15.80,-04:50:39.6,10.2,,,NGC,1977,Star cluster + Nebula,nebulae,Orion,20.0,20.0,large_dso
NGC 1980,,Lower Sword,05:35:25.99,-05:54:35.6,9.3,,2.5,NGC,1980,Star cluster + Nebula,nebulae,Orion,,,small_dso
NGC 1981,,Upper Sword,05:35:09.59,-04:25:30.2,9.0,,4.2,NGC,1981,Star cluster + Nebula,nebulae,Orion,25.0,25.0,large_dso
