Name,Type,RA,Dec,Const,MajAx,MinAx,V-Mag,M,NGC,IC,Common names,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Catalog,Name_MIKE,Name (no leading zero),Name (final),NGC/ID,Type_MIKE,Common Name,Mag,RA_MIKE,Dec_MIKE,Width ('),Height ('),IC_MIKE,IC name_MIKE,NGC_MIKE,NGC name,mike,Notes
NGC1981,Cl+N,05:35:09.59,-04:25:30.2,Ori,9.0,,4.2,,,,Upper Sword,NGC,1981,NGC 1981,,,1981,NGC,NGC 1981,NGC 1981,NGC 1981,1981,OC,,4,05:35:12,-3.57,25.0,25.0,,,1981,NGC 1981,True,large_dso
NGC1982,HII,05:35:31.38,-05:16:02.9,Ori,20.0,15.0,9.0,43,,,Mairan's Nebula,M,1982,M 43,,,43,Messier,M 043,M 43,M 43,1982,Di,De Mairan's Nebula,9,05:05:36,-5.27,20.0,15.0,,,1982,NGC 1982,True,large_dso
NGC2024,Neb,05:41:42.57,-01:51:22.6,Ori,30.0,30.0,,,,,,NGC,2024,NGC 2024,,,2024,NGC,NGC 2024,NGC 2024,NGC 2024,2024,Nb,Flame Nebula,,05:41:54,-0.15,30.0,30.0,,,2024,NGC 2024,True,large_dso
NGC2052,Neb,05:37:11.05,-69:46:27.1,Dor,18.0,12.0,,,,,,NGC,2052,NGC 2052,,,2052,,,,,,,,,,,,,,,,,,large_dso
NGC2070,HII,05:38:42.36,-69:06:03.2,Dor,16.0,16.0,7.25,,,,"30 Dor Cluster,Tarantula Nebula",NGC,2070,NGC 2070,,,2070,Caldwell,C 103,C 103,C 103,2070,Bn,Tarantula Nebula, ,05:38:42,-69.1,40.0,25.0,,,2070,NGC 2070,True,large_dso
NGC2099,OCl,05:52:18.35,+32:33:10.8,Aur,11.4,,5.6,37,,,,M,2099,M 37,,,37,Messier,M 037,M 37,M 37,2099,Oc,,6.2,05:02:24,32.55,24.0,24.0,,,2099,NGC 2099,True,large_dso
NGC2112,OCl,05:53:45.21,+00:24:38.9,Ori,21.0,,9.1,,,,,NGC,2112,NGC 2112,,,2112,,,,,,,,,,,,,,,,,,large_dso
NGC2168,OCl,06:09:05.06,+24:20:19.1,Gem,24.0,,5.1,35,,,,M,2168,M 35,,,35,Messier,M 035,M 35,M 35,2168,Oc,,5.3,06:08:54,24.33,28.0,28.0,,,2168,NGC 2168,True,large_dso
NGC2174,Neb,06:09:23.62,+20:39:34.5,Ori,40.0,30.0,,,,,Monkey Head Nebula,NGC,2174,NGC 2174,,,2174,NGC,NGC 2174,NGC 2174,NGC 2174,2174,Nb,,,06:09:42,20.5,40.0,40.0,,,2174,NGC 2174,True,large_dso
NGC2175,Cl+N,06:09:39.55,+20:29:15.3,Ori,5.4,,6.8,,,,,NGC,2175,NGC 2175,,,2175,NGC,NGC 2175,NGC 2175,NGC 2175,2175,OC,,6,06:09:48,20.32,18.0,18.0,,,2175,NGC 2175,True,large_dso
NGC2232,OCl,06:28:01.13,-04:50:50.8,Mon,9.9,,3.9,,,,,NGC,2232,NGC 2232,,,2232,NGC,NGC 2232,NGC 2232,NGC 2232,2232,OC,,3,06:26:36,-3.25,30.0,30.0,,,2232,NGC 2232,True,large_dso
NGC2237,Neb,06:30:54.61,+05:02:57.0,Mon,80.0,50.0,,,,,Rosette A,NGC,2237,NGC 2237,,,2237,Caldwell,C 049,C 49,C 49,2237,Bn,Rosette Nebula,-,06:32:18,5.05,80.0,60.0,,,2237,NGC 2237,True,large_dso
NGC2238,HII,06:30:40.37,+05:00:47.0,Mon,80.0,60.0,,,,,Rosette Nebula,NGC,2238,NGC 2238,,,2238,,,,,,,,,,,,,,,,,,large_dso
